target_angular,actual_angular,target_velocity,actual_velocity,time
1.78856,1.75407,1.86649,2.58002,0.469
1.79043,1.75407,1.86783,2.58002,0.47
1.7923,1.75407,1.86916,2.58002,0.471
1.79417,1.75407,1.87047,2.58002,0.472
1.79604,1.75407,1.87178,2.58002,0.473
1.79791,1.75407,1.87308,2.58002,0.474
1.79978,1.75407,1.87437,2.58002,0.475
1.80166,1.75407,1.87564,2.58002,0.476
1.80354,1.75407,1.87691,2.58002,0.477
1.80541,1.75407,1.87817,2.58002,0.478
1.80729,1.75407,1.87942,2.58002,0.479
1.80917,1.75407,1.88065,2.58002,0.48
1.81105,1.75407,1.88188,2.58002,0.481
1.81294,1.79344,1.88309,1.87644,0.482
1.81482,1.79536,1.8843,1.9246,0.483
1.8167,1.79536,1.88549,1.9246,0.484
1.81859,1.79536,1.88668,1.9246,0.485
1.82048,1.79536,1.88785,1.9246,0.486
1.82237,1.79536,1.88902,1.9246,0.487
1.82426,1.79536,1.89017,1.9246,0.488
1.82615,1.79536,1.89132,1.9246,0.489
1.82804,1.79536,1.89245,1.9246,0.49
1.82993,1.80594,1.89358,1.47106,0.491
1.83183,1.81827,1.89469,-0.430034,0.492
1.83372,1.81827,1.89579,-0.430034,0.493
1.83562,1.81827,1.89689,-0.430034,0.494
1.83751,1.81827,1.89797,-0.430034,0.495
1.83941,1.81827,1.89904,-0.430034,0.496
1.84131,1.81827,1.9001,-0.430034,0.497
1.84321,1.81827,1.90116,-0.430034,0.498
1.84511,1.81827,1.9022,-0.430034,0.499
1.84702,1.81827,1.90323,-0.430034,0.5
1.84892,1.81827,1.90425,-0.430034,0.501
1.85083,1.81827,1.90526,-0.430034,0.502
1.85273,1.81827,1.90627,-0.430034,0.503
1.85464,1.81827,1.90726,-0.430034,0.504
1.85655,1.81827,1.90824,-0.430034,0.505
1.85845,1.81827,1.90921,-0.430034,0.506
1.86036,1.82551,1.91017,2.11233,0.507
1.86228,1.82784,1.91112,2.33304,0.508
1.86419,1.82784,1.91206,2.33304,0.509
1.8661,1.82784,1.91299,2.33304,0.51
1.86801,1.82784,1.91391,2.33304,0.511
1.86993,1.82784,1.91482,2.33304,0.512
1.87184,1.82784,1.91571,2.33304,0.513
1.87376,1.82784,1.9166,2.33304,0.514
1.87568,1.82784,1.91748,2.33304,0.515
1.87759,1.82784,1.91835,2.33304,0.516
1.87951,1.82784,1.91921,2.33304,0.517
1.88143,1.82784,1.92005,2.33304,0.518
1.88335,1.82784,1.92089,2.33304,0.519
1.88527,1.86802,1.92172,1.59499,0.52
1.8872,1.86967,1.92253,1.65469,0.521
1.88912,1.86967,1.92334,1.65469,0.522
1.89104,1.86967,1.92413,1.65469,0.523
1.89297,1.86967,1.92492,1.65469,0.524
1.89489,1.86967,1.92569,1.65469,0.525
1.89682,1.86967,1.92646,1.65469,0.526
1.89875,1.86967,1.92721,1.65469,0.527
1.90067,1.86967,1.92796,1.65469,0.528
1.9026,1.86967,1.92869,1.65469,0.529
1.90453,1.86967,1.92941,1.65469,0.53
1.90646,1.86967,1.93012,1.65469,0.531
1.90839,1.86967,1.93083,1.65469,0.532
1.91032,1.86967,1.93152,1.65469,0.533
1.91225,1.86967,1.9322,1.65469,0.534
1.91419,1.86967,1.93287,1.65469,0.535
1.91612,1.86967,1.93353,1.65469,0.536
1.91805,1.86967,1.93418,1.65469,0.537
1.91999,1.86967,1.93482,1.65469,0.538
1.92192,1.89762,1.93545,1.66953,0.539
1.92386,1.89934,1.93607,1.72409,0.54
1.92579,1.89934,1.93667,1.72409,0.541
1.92773,1.89934,1.93727,1.72409,0.542
1.92967,1.89934,1.93786,1.72409,0.543
1.93161,1.89934,1.93843,1.72409,0.544
1.93355,1.89934,1.939,1.72409,0.545
1.93549,1.89934,1.93955,1.72409,0.546
1.93743,1.89934,1.9401,1.72409,0.547
1.93937,1.89934,1.94063,1.72409,0.548
1.94131,1.89934,1.94115,1.72409,0.549
1.94325,1.89934,1.94167,1.72409,0.55
1.94519,1.89934,1.94217,1.72409,0.551
1.94713,1.89934,1.94266,1.72409,0.552
1.94908,1.89934,1.94314,1.72409,0.553
1.95102,1.89934,1.94361,1.72409,0.554
1.95296,1.89934,1.94407,1.72409,0.555
1.95491,1.89934,1.94451,1.72409,0.556
1.95685,1.89934,1.94495,1.72409,0.557
1.9588,1.93198,1.94538,2.25209,0.558
1.96074,1.93436,1.94579,2.38066,0.559
1.96269,1.93436,1.9462,2.38066,0.56
1.96463,1.93436,1.94659,2.38066,0.561
