target_angular,actual_angular,target_velocity,actual_velocity,time
-0.422334,-0.421014,-0.212277,-0.105502,0.483
-0.422547,-0.421014,-0.214863,-0.105502,0.484
-0.422763,-0.421014,-0.217455,-0.105502,0.485
-0.422982,-0.421014,-0.220053,-0.105502,0.486
-0.423203,-0.421014,-0.222655,-0.105502,0.487
-0.423427,-0.421014,-0.225263,-0.105502,0.488
-0.423654,-0.421014,-0.227876,-0.105502,0.489
-0.423883,-0.421014,-0.230495,-0.105502,0.49
-0.424115,-0.421599,-0.233119,-0.0755928,0.491
-0.424349,-0.421965,-0.235749,0.0419138,0.492
-0.424586,-0.421965,-0.238384,0.0419138,0.493
-0.424826,-0.421965,-0.241025,0.0419138,0.494
-0.425068,-0.421965,-0.243672,0.0419138,0.495
-0.425313,-0.421965,-0.246325,0.0419138,0.496
-0.425561,-0.421965,-0.248983,0.0419138,0.497
-0.425811,-0.421965,-0.251648,0.0419138,0.498
-0.426064,-0.421965,-0.254319,0.0419138,0.499
-0.42632,-0.421965,-0.256995,0.0419138,0.5
-0.426578,-0.421965,-0.259678,0.0419138,0.501
-0.426839,-0.421965,-0.262367,0.0419138,0.502
-0.427103,-0.421965,-0.265062,0.0419138,0.503
-0.42737,-0.421965,-0.267764,0.0419138,0.504
-0.427639,-0.421965,-0.270472,0.0419138,0.505
-0.427911,-0.421965,-0.273186,0.0419138,0.506
-0.428185,-0.422879,-0.275907,-0.218012,0.507
-0.428462,-0.423118,-0.278634,-0.239317,0.508
-0.428742,-0.423118,-0.281368,-0.239317,0.509
-0.429025,-0.423118,-0.284109,-0.239317,0.51
-0.429311,-0.423118,-0.286857,-0.239317,0.511
-0.429599,-0.423118,-0.289611,-0.239317,0.512
-0.42989,-0.423118,-0.292372,-0.239317,0.513
-0.430184,-0.423118,-0.295141,-0.239317,0.514
